Distance_(pixels),Gray_Value
0,12.667
1,12.667
2,12.667
3,11.667
4,11.667
5,15.667
6,24.667
7,30.667
8,27.333
9,19.000
10,30.000
11,56.667
12,82.000
13,85.667
14,87.000
15,86.667
16,75.333
17,49.333
18,28.333
19,23.667
20,26.667
21,26.000
22,28.000
23,30.333
24,40.667
25,60.000
26,76.333
27,86.000
28,90.333
29,84.000
30,58.000
31,30.333
32,24.333
33,29.333
34,31.667
35,28.667
36,28.333
37,30.667
38,44.667
39,73.000
40,92.667
41,96.333
42,91.667
43,73.667
44,42.000
45,21.000
46,20.000
47,23.333
48,29.333
49,25.000
50,19.000
51,34.667
52,64.000
53,84.000
54,92.667
55,92.667
56,89.000
57,71.333
58,41.000
59,24.333
60,27.000
61,35.333
62,29.000
63,27.000
64,24.000
65,38.667
66,70.333
67,89.333
68,93.333
69,90.333
70,81.667
71,55.667
72,35.667
73,34.000
74,28.000
75,25.333
76,34.000
77,33.333
78,18.333
79,29.333
80,75.333
81,94.667
82,100.667
83,90.333
84,67.333
85,37.333
86,26.333
87,25.333
88,30.333
89,31.333
90,27.333
91,24.333
92,21.333
93,56.667
94,88.000
95,99.333
96,101.000
97,92.000
98,56.333
99,25.333
100,21.333
101,29.333
102,33.333
103,31.667
104,23.667
105,22.333
106,39.333
107,68.000
108,88.333
109,92.000
110,89.667
111,74.667
112,45.333
113,27.000
114,25.667
115,27.333
116,26.333
117,25.000
118,20.667
119,23.000
120,50.000
121,85.000
122,104.000
123,105.333
124,85.000
125,45.333
126,17.000
127,16.000
128,21.333
129,27.667
130,31.000
131,31.667
132,24.667
133,19.667
134,42.000
135,87.000
136,100.667
137,99.333
138,83.333
139,43.667
140,20.333
141,23.000
142,27.000
143,27.000
144,24.667
145,27.000
146,28.333
147,31.333
148,59.333
149,100.333
150,108.333
151,92.333
152,54.333
153,22.333
154,21.667
155,28.667
156,25.000
157,19.000
158,31.000
159,24.667
160,18.333
161,45.333
162,90.667
163,110.000
164,103.000
165,87.000
166,46.000
167,21.000
168,19.333
169,26.333
170,30.000
171,32.000
172,27.000
173,19.333
174,22.667
175,65.000
176,93.333
177,101.000
178,105.000
179,83.000
180,46.667
181,25.000
182,19.667
183,23.333
184,30.000
185,31.333
186,25.667
187,18.000
188,29.667
189,71.667
190,102.333
191,105.000
192,93.333
193,61.000
194,29.000
195,19.667
196,22.000
197,25.333
198,25.667
199,24.667
200,21.333
201,22.333
202,47.000
203,83.000
204,100.000
205,98.000
206,86.667
207,54.333
208,21.333
209,20.333
210,33.000
211,37.000
212,38.333
213,32.667
214,24.667
215,32.667
216,71.000
217,97.667
218,105.667
219,94.000
220,67.333
221,42.667
222,16.000
223,20.333
224,32.000
225,34.667
226,23.333
227,21.333
228,36.000
229,63.000
230,90.000
231,92.667
232,97.667
233,86.667
234,54.667
235,25.333
236,24.333
237,33.333
238,33.000
239,29.333
240,24.667
241,20.333
242,27.000
243,62.333
244,89.000
245,96.667
246,92.667
247,75.000
248,40.000
249,18.667
250,16.333
251,21.667
252,28.333
253,27.333
254,26.000
255,23.000
256,30.000
257,65.333
258,97.000
259,103.667
260,97.667
261,75.000
262,37.667
263,23.000
264,22.000
265,23.667
266,28.667
267,29.333
268,23.667
269,30.000
270,58.333
271,88.000
272,99.000
273,97.000
274,87.000
275,62.333
276,33.333
277,19.000
278,24.333
279,33.333
280,31.333
281,22.000
282,20.333
283,38.667
284,76.667
285,96.000
286,96.000
287,92.000
288,76.333
289,45.333
290,27.333
291,26.000
292,31.333
293,36.333
294,31.000
295,21.000
296,27.000
297,59.000
298,92.333
299,99.333
300,93.333
301,89.333
302,64.667
303,27.333
304,25.333
305,25.667
306,31.000
307,34.000
308,25.333
309,20.333
310,26.333
311,72.333
312,91.000
313,100.000
314,99.000
315,84.000
316,47.333
317,19.333
318,21.333
319,29.333
320,26.000
321,26.333
322,23.333
323,23.333
324,41.333
325,74.667
326,99.000
327,104.000
328,83.000
329,48.333
330,29.667
331,25.000
332,22.333
333,29.000
334,34.333
335,28.000
336,18.667
337,22.333
338,58.000
339,93.000
340,100.667
341,96.667
342,85.000
343,51.333
344,24.333
345,21.000
346,25.667
347,29.000
348,27.000
349,25.000
350,27.667
351,42.000
352,69.667
353,94.000
354,103.000
355,98.667
356,80.333
357,43.000
358,16.667
359,19.667
360,25.333
361,26.000
362,21.333
363,20.667
364,33.667
365,64.333
366,87.333
367,100.000
368,99.667
369,88.667
370,66.000
371,42.333
372,24.333
373,24.333
374,33.333
375,33.000
376,28.000
377,18.667
378,25.333
379,75.333
380,99.667
381,99.000
382,99.667
383,84.333
384,39.667
385,12.333
386,25.667
387,32.333
388,26.333
389,21.333
390,22.333
391,25.333
392,30.000
393,74.000
394,97.000
395,101.667
396,92.333
397,59.333
398,24.667
399,22.000
400,28.333
401,27.667
402,21.000
403,22.000
404,27.667
405,24.333
406,29.333
407,60.333
408,98.333
409,108.333
410,97.333
411,64.333
412,28.333
413,21.333
414,31.333
415,36.667
416,36.000
417,30.333
418,18.000
419,29.333
420,66.000
421,95.000
422,107.667
423,99.667
424,66.333
425,36.333
426,28.000
427,29.000
428,29.000
429,29.000
430,28.000
431,26.333
432,22.667
433,36.000
434,73.667
435,99.667
436,103.000
437,96.333
438,71.667
439,36.333
440,25.000
441,27.333
442,25.000
443,26.000
444,25.333
445,17.667
446,19.333
447,45.333
448,86.000
449,97.333
450,92.000
451,82.667
452,52.000
453,27.333
454,28.333
455,26.000
456,21.000
457,26.000
458,29.000
459,24.667
460,36.000
461,77.333
462,105.667
463,110.333
464,97.000
465,58.333
466,26.333
467,23.000
468,22.000
469,23.000
470,24.000
471,24.000
472,24.000
473,24.000
474,34.667
475,65.000
476,88.333
477,96.333
478,85.000
479,43.000
480,25.333
481,28.333
482,37.000
483,41.333
484,41.000
485,33.333
486,24.333
487,32.000
488,57.333
489,80.000
490,92.000
491,96.000
492,81.667
493,38.667
494,19.667
495,25.667
496,32.000
497,33.000
498,28.667
499,27.333
500,29.000
501,40.333
502,68.333
503,94.667
504,100.000
505,92.000
506,66.667
507,36.000
508,23.667
509,22.333
510,26.000
511,29.000
512,29.000
513,20.667
514,21.333
515,53.000
516,83.000
517,87.000
518,87.333
519,79.333
520,54.667
521,35.000
522,24.000
523,23.000
524,25.000
525,25.000
526,25.667
527,22.333
528,20.000
529,47.667
530,91.000
531,103.667
532,87.333
533,51.667
534,32.000
535,20.000
536,14.333
537,15.667
538,24.000
539,24.000
540,19.000
541,11.333
542,41.333
543,83.333
544,101.000
545,99.000
546,92.000
547,61.333
548,27.000
549,17.333
550,22.000
551,26.000
552,25.000
553,20.000
554,24.333
555,35.333
556,60.333
557,85.000
558,95.000
559,93.000
560,75.000
561,42.667
562,23.333
563,19.667
564,24.000
565,28.000
566,28.000
567,23.000
568,23.000
569,38.667
570,62.333
571,89.333
572,103.000
573,91.333
574,59.333
575,31.333
576,23.333
577,24.667
578,23.000
579,24.667
580,25.333
581,19.667
582,25.333
583,52.000
584,83.000
585,94.667
586,91.667
587,83.000
588,57.000
589,27.000
590,25.333
591,31.333
592,31.000
593,30.333
594,29.000
595,27.000
596,35.333
597,58.333
598,83.333
599,89.000
600,82.667
601,74.667
602,48.000
603,16.333
604,17.667
605,24.000
606,28.000
607,26.667
608,20.667
609,22.333
610,53.333
611,86.000
612,90.333
613,86.333
614,67.667
615,44.000
616,26.333
617,18.333
618,20.000
619,30.000
620,50.000
621,32.000
622,13.000
623,12.333
624,39.333
625,75.000
626,95.000
627,94.000
628,71.000
629,40.000
630,26.333
631,26.333
632,29.667
633,34.000
634,32.000
635,27.333
636,20.333
637,35.333
638,72.333
639,98.000
640,100.000
641,93.000
642,73.000
643,47.333
644,24.667
645,17.000
646,18.000
647,26.000
648,31.000
649,23.000
650,25.000
651,53.000
652,81.000
653,94.000
654,92.000
655,79.000
656,57.000
657,33.000
658,23.000
659,20.000
660,20.000
661,21.333
662,23.000
663,24.000
664,31.667
665,53.333
666,76.333
667,89.333
668,83.333
669,54.333
670,31.000
671,26.333
672,27.667
673,25.000
674,23.667
675,21.000
676,18.667
677,19.667
678,37.333
679,67.333
680,87.000
681,87.000
682,75.000
683,56.000
684,36.000
685,21.000
686,20.000
687,23.333
688,25.667
689,22.333
690,16.333
691,22.000
692,37.333
693,84.333
694,94.667
695,91.667
696,76.667
697,49.333
698,27.333
699,25.333
700,25.000
701,25.667
702,27.667
703,24.000
704,24.667
705,39.667
706,60.667
707,77.333
708,92.333
709,85.000
710,60.000
711,34.000
712,25.000
713,27.333
714,28.667
715,26.000
716,23.333
717,18.333
718,20.000
719,35.000
720,64.333
721,89.000
722,99.000
723,86.667
724,50.000
725,28.000
726,24.667
727,25.667
728,27.000
729,26.000
730,22.000
731,22.667
732,37.000
733,64.000
734,83.667
735,93.000
736,97.000
737,82.333
738,46.333
739,17.000
740,14.000
741,21.000
742,24.000
743,21.667
744,19.333
745,21.333
746,42.333
747,77.333
748,99.000
749,100.000
750,91.000
751,68.667
752,40.667
753,22.333
754,26.333
755,29.000
756,28.000
757,23.667
758,19.000
759,20.000
760,37.000
761,93.000
762,108.000
763,102.667
764,78.667
765,45.000
766,36.000
767,20.333
768,22.333
769,34.667
770,30.000
771,18.000
772,21.333
773,37.333
774,82.667
775,97.333
776,100.333
777,99.333
778,94.667
779,61.667
780,25.333
781,21.667
782,28.000
783,37.333
784,28.333
785,15.333
786,26.333
787,59.333
788,88.333
789,94.667
790,92.667
791,95.333
792,69.000
793,29.667
794,21.000
795,22.667
796,18.000
797,19.333
798,21.667
799,21.000
800,29.333
801,59.667
802,90.333
803,102.000
804,100.000
805,90.000
806,56.000
807,24.667
808,20.667
809,33.000
810,43.000
811,37.667
812,23.667
813,17.333
814,21.333
815,50.000
816,88.667
817,107.000
818,99.333
819,71.000
820,40.000
821,23.667
822,20.667
823,24.000
824,25.667
825,23.667
826,20.333
827,25.000
828,52.000
829,89.667
830,106.000
831,102.000
832,84.333
833,47.667
834,21.000
835,21.000
836,26.333
837,24.333
838,22.333
839,23.000
840,24.667
841,29.667
842,50.000
843,91.000
844,107.000
845,99.333
846,79.333
847,28.333
848,17.333
849,25.000
850,28.000
851,19.000
852,19.000
853,19.000
854,14.333
855,28.333
856,69.333
857,100.000
858,109.000
859,90.000
860,55.000
861,35.333
862,24.333
863,23.667
864,23.000
865,23.000
866,23.000
867,21.000
868,19.000
869,53.333
870,84.000
871,96.667
872,96.667
873,78.667
874,50.000
875,30.333
876,22.333
877,19.667
878,21.000
879,26.000
880,27.667
881,24.000
882,33.333
883,66.667
884,97.000
885,102.667
886,96.667
887,71.000
888,34.667
889,19.000
890,24.667
891,29.000
